ID,title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Types
696,The Good Cop,2018,16+,7.1,58,1,,,,1
697,The Uncanny Counter,2020,,8.2,58,1,,,,1
698,Law School,2021,,8.2,58,1,,,,1
699,This is a Robbery: The World's Biggest Art Heist,2021,18+,6.4,58,1,,,,1
700,The English Game,2020,,7.6,58,1,,,,1
701,Chambers,2019,16+,6.5,58,1,,,,1
702,Selena: The Series,2020,7+,6.8,58,1,,,,1
703,BAKI,2018,18+,6.7,58,1,,,,1
704,Cells at Work!,2018,16+,7.6,58,1,,,,1
705,Reckoning,2019,18+,6.6,58,1,,,,1
706,The Mole,2001,,7.5,58,1,,,,1
707,The Ripper,2020,,7.1,58,1,,,,1
708,Queen Sono,2020,18+,5.9,58,1,,,,1
709,WWII in HD,2009,18+,8.7,58,1,,,,1
710,The Parisian Agency: Exclusive Properties,2021,,6.9,58,1,,,,1
711,La cocinera de Castamar,2021,,7.4,58,1,,,,1
712,I Am a Killer,2018,18+,7.4,58,1,,,,1
713,W1A,2014,,7.8,58,1,,,,1
714,One of Us,2016,18+,7,58,1,,,,1
715,Cuckoo,2012,16+,7.2,58,1,,,,1
716,March Comes in Like a Lion,2016,7+,8.4,58,1,,,,1
717,Bֳ¶rֳ¼,2018,18+,8.2,58,1,,,,1
718,The Mess You Leave Behind,2020,,6.8,58,1,,,,1
719,Elize Matsunaga: Once Upon a Crime,2021,18+,5.8,58,1,,,,1
720,Invisible City,2021,all,7.4,58,1,,,,1
721,High Seas,2019,16+,6.8,58,1,,,,1
722,Man Down,2013,18+,7.6,58,1,,,,1
723,Hitler's Circle of Evil,2017,,8,58,1,,,,1
724,Degrassi: Next Class,2016,7+,6.9,58,1,,,,1
725,The Forest,2017,,7.2,58,1,,,,1
726,The Woods,2020,18+,6.5,58,1,,,,1
727,This Is Pop,2021,,6.9,58,1,,,,1
728,Godzilla Singular Point,2021,16+,6.6,58,1,,,,1
729,My Babysitter's a Vampire,2011,7+,7.1,58,1,,,,1
730,Mad for Each Other,2021,,7.9,58,1,,,,1
731,Typewriter,2019,18+,6.5,57,1,,,,1
732,Sonic X,2003,16+,6.2,57,1,1,1,,1
733,Monthly Girls' Nozaki-kun,2014,7+,7.6,57,1,,,,1
734,History of Swear Words,2021,18+,6.4,57,1,,,,1
735,Dolly Parton's Heartstrings,2019,16+,7.6,57,1,,,,1
736,Arthdal Chronicles,2019,,8.4,57,1,,,,1
737,Last Chance U: Basketball,2021,18+,8.4,57,1,,,,1
738,The Next Step,2013,all,6.2,57,1,,,,1
739,The Bride of the Water God,2017,,6.9,57,1,,,,1
740,Midnight Diner: Tokyo Stories,2016,16+,8.4,57,1,,,,1
741,Immigration Nation,2020,16+,7.4,57,1,,,,1
742,My Unorthodox Life,2021,,4.9,57,1,,,,1
743,The Barrier,2020,16+,6.8,57,1,,,,1
744,Cannon Busters,2019,18+,6.8,57,1,,,,1
745,Something in the Rain,2018,7+,8.1,57,1,,,,1
746,Haters Back Off,2016,7+,6,57,1,,,,1
747,Young Wallander,2020,18+,6.8,57,1,,,,1
748,Toy Boy,2019,18+,6.4,57,1,,,,1
749,Aunty Donna's Big Ol' House of Fun,2020,,8,57,1,,,,1
750,Jack Whitehall: Travels with My Father,2017,18+,7.7,57,1,,,,1
751,Sofia the First,2013,all,6.9,57,1,,,,1
752,"Money, Explained",2021,,6.9,57,1,,,,1
753,The Joel McHale Show with Joel McHale,2018,18+,7.2,57,1,,,,1
754,America's Book of Secrets,2012,7+,6.8,57,1,1,,,1
755,The World's Most Amazing Vacation Rentals,2021,,6.6,57,1,,,,1
756,Kiss Me First,2018,18+,6.3,57,1,,,,1
757,A Very Secret Service,2015,18+,7.8,57,1,,,,1
758,Sexy Beasts,2021,,4.7,57,1,,,,1
759,Scissor Seven,2018,7+,8.3,57,1,,,,1
760,Summertime,2020,18+,5.5,57,1,1,,,1
761,Turn Up Charlie,2019,,7.1,57,1,,,,1
762,The K2,2016,16+,7.8,57,1,,,,1
763,The King's Avatar,2017,7+,7.7,57,1,,,,1
764,Prison Playbook,2017,,8.4,57,1,,,,1
765,The Twelve,2019,16+,7.5,57,1,,,,1
766,Vanished 46,2016,16+,8.4,57,1,,,,1
767,Valor,2017,16+,6,57,1,,,,1
768,Northern Rescue,2019,16+,7.1,57,1,,,,1
769,Equinox,2020,18+,6.1,57,1,,,,1
770,Oggy and the Cockroaches,1999,all,7.3,57,1,,,,1
771,Code Lyoko,2003,7+,7.3,57,1,,,,1
772,Champions,2018,16+,6.1,57,1,1,,,1
773,Winx Club,2004,all,6.2,57,1,,,,1
774,Dragons: Race to the Edge,2015,7+,8.3,57,1,,,,1
775,Age of Samurai: Battle for Japan,2021,,7.4,56,1,,,,1
776,Vexed,2010,7+,7.3,56,1,,,,1
777,Family Business,2019,16+,7.4,56,1,,,,1
778,Strangers From Hell,2019,,7.9,56,1,,,,1
779,BUNK'D,2015,all,5.4,56,1,,,,1
780,Cathedral of the Sea,2018,16+,7.5,56,1,,,,1
781,Iris,2009,,7.9,56,1,,,,1
782,Man to Man,2017,,7.4,56,1,,,,1
783,History 101,2020,7+,6.8,56,1,,,,1
784,Cat People,2021,,6.3,56,1,,,,1
785,Cinderella and Four Knights,2016,,7.3,56,1,,,,1
786,The Big Flower Fight,2020,,7.4,56,1,,,,1
787,Cooked,2016,7+,8.1,56,1,,,,1
788,Monarca,2019,18+,7.9,56,1,,,,1
789,Indian Matchmaking,2020,16+,6.2,56,1,,,,1
790,Perfume,2018,18+,7.1,56,1,,,,1
791,Avlu,2018,18+,7.2,56,1,,,,1
792,Wild District,2018,18+,8.3,56,1,,,,1
793,Magic for Humans,2018,16+,7.2,56,1,,,,1
794,50M2,2021,18+,7,56,1,,,,1
795,Mako Mermaids: An H2O Adventure,2013,all,6.8,56,1,,,,1
796,Extracurricular,2020,18+,7.7,56,1,,,,1
797,Tunnel,2017,16+,8.3,56,1,,,,1
798,Marseille,2016,18+,6.9,56,1,,,,1
799,Elite Short Stories: Nadia Guzmֳ¡n,2021,18+,6.4,56,1,,,,1
800,The World's Most Extraordinary Homes,2017,,7.6,56,1,,,,1
801,The Rise of Phoenixes,2018,7+,8.6,56,1,,,,1
802,Wakfu,2008,7+,8.2,56,1,,,,1
803,H,1998,,7.4,56,1,,,,1
804,The War Next-door,2021,,5.7,56,1,,,,1
805,How to Fix a Drug Scandal,2020,18+,7,56,1,,,,1
806,Betaal,2020,18+,5.4,56,1,,,,1
807,Sin Senos Sֳ­ Hay Paraֳ­so,2016,16+,6.7,56,1,,,,1
808,Japan Sinks: 2020,2020,18+,6.4,56,1,,,,1
809,Run On,2020,,7.6,56,1,,,,1
810,Girlfriends,2000,7+,7.2,56,1,,,,1
811,Mobile Suit Gundam: Iron-Blooded Orphans,2015,18+,7.9,56,1,,,,1
812,Curon,2020,18+,5.8,56,1,,,,1
813,The Method,2015,18+,7.4,56,1,,,,1
814,Amend: The Fight for America,2021,18+,7.9,56,1,,,,1
815,Reply 1997,2012,,8.1,56,1,,,,1
816,The Crew,2021,16+,6.6,56,1,,,,1
817,Sex Explained,2020,18+,6.9,56,1,,,,1
818,Unauthorized Living,2018,18+,7.5,56,1,,,,1
819,James Acaster: Repertoire,2018,18+,8.5,56,1,,,,1
820,Blood & Water,2020,18+,6.4,56,1,,,,1
821,Adventures of Sonic the Hedgehog,1993,7+,6.2,55,1,,,,1
822,Tales by Light,2015,,8.3,55,1,,,,1
823,Tiny Pretty Things,2020,,5.9,55,1,,,,1
824,Rust Valley Restorers,2018,16+,7.8,55,1,,,,1
825,Immortals,2018,7+,5.3,55,1,,,,1
826,Cheese in the Trap,2016,16+,7.4,55,1,,,,1
827,Terrace House: Boys & Girls in the City,2015,7+,8.1,55,1,,,,1
828,When the Camellia Blooms,2019,,8,55,1,,,,1
829,My Secret Romance,2017,16+,7.1,55,1,,,,1
830,Marlon,2017,7+,7.1,55,1,1,,,1
831,The Bonfire of Destiny,2019,16+,7.7,55,1,,,,1
832,100 Days My Prince,2018,16+,7.7,55,1,,,,1
833,Let's Eat,2013,16+,7.7,55,1,,,,1
834,Kung Fu Panda: Legends of Awesomeness,2011,7+,6.8,55,1,,,,1
835,Crime Scene: The Vanishing at the Cecil Hotel,2021,,5.9,55,1,,,,1
836,PJ Masks,2015,all,5.5,55,1,,,1,1
837,Incomplete Life,2014,16+,8.6,55,1,,,,1
838,Fabulous Lives of Bollywood Wives,2020,,4.7,55,1,,,,1
839,When Heroes Fly,2018,7+,7.2,55,1,,,,1
840,The Last O.G.,2018,7+,6.9,55,1,,,,1
841,Romance is a Bonus Book,2019,,8.1,55,1,,,,1
842,DC Super Hero Girls,2019,7+,7.1,55,1,,,,1
843,Wheel of Fortune,1983,all,6.7,55,1,,,,1
844,Chelsea Does,2016,18+,7.2,55,1,,,,1
845,Girlfriends' Guide to Divorce,2014,16+,6.9,55,1,,,,1
846,Daniel Sloss: Live Shows,2018,18+,8.6,55,1,,,,1
847,Case,2015,16+,7.1,55,1,,,,1
848,Always a Witch,2019,16+,6.2,55,1,,,,1
849,You vs. Wild,2019,,7,55,1,,,,1
850,The Boulet Brothers' Dragula,2016,18+,7.9,55,1,,,,1
851,Lovestruck in the City,2020,16+,7.8,55,1,,,,1
852,Navillera,2021,,8.8,55,1,,,,1
853,Bitter Daisies,2018,18+,7.2,55,1,,,,1
854,Selection Day,2018,16+,7.4,55,1,,,,1
855,"Bring It On, Ghost",2016,16+,7.6,55,1,,,,1
856,The Standups,2017,,6.7,55,1,,,,1
857,(The Hook Up Plan),2018,16+,7.2,55,1,,,,1
858,Because This Is My First Life,2017,16+,8.1,55,1,,,,1
859,The Indian Detective,2017,,6.5,55,1,,,,1
860,Medal of Honor,2018,16+,8.4,55,1,,1,,1
861,Heaven Official's Blessing,2020,,8.4,55,1,,,,1
862,Who Killed Little Gregory?,2019,,7.4,55,1,,,,1
863,"Coronavirus, Explained",2020,7+,7.6,55,1,,,,1
864,Teen Mom 2,2011,7+,4.3,55,1,,1,,1
865,Vientos de agua,2006,,8.8,55,1,,,,1
866,Kantaro: The Sweet Tooth Salaryman,2017,7+,7.5,55,1,,,,1
867,Al Hayba,2017,7+,7.4,55,1,,,,1
868,Somewhere Between,2017,16+,6.3,55,1,,,,1
869,Selling Sunset,2019,18+,6.3,55,1,,,,1
870,Trailer Park Boys: The Animated Series,2019,18+,7.5,55,1,,,,1
871,Ultraviolet,2017,18+,7,55,1,1,,,1
872,Ultraman,2019,16+,6.9,54,1,,,,1
873,No Good Nick,2019,7+,6,54,1,,,,1
874,Intersection,2016,,6.6,54,1,,1,,1
875,Daughter From Another Mother,2021,18+,7.4,54,1,,,,1
876,Tiny House Nation,2014,7+,7.1,54,1,,,,1
877,High-Rise Invasion,2021,18+,6.7,54,1,,,,1
878,Mystic Pop-up Bar,2020,16+,8,54,1,,,,1
879,The Inmate,2018,,7,54,1,,,,1
880,Glow Up: Britain's Next Make-Up Star,2019,16+,6.7,54,1,,,,1
881,Falsa Identidad,2018,16+,7.1,54,1,,,,1
882,A Perfect Crime,2020,,7.3,54,1,,,,1
883,Alien Worlds,2020,7+,6.5,54,1,,,,1
884,Barbie: Life in the Dreamhouse,2012,all,7.4,54,1,,,,1
885,Freud,2020,18+,6.5,54,1,,,,1
886,Carmel: Who Killed Maria Marta?,2020,,7.1,54,1,,,,1
887,Get Even,2020,,6.5,54,1,,,,1
888,God Eater,2015,16+,7,54,1,,,,1
889,El Dragֳ³n: Return of a Warrior,2019,18+,7,54,1,,,,1
890,Netflix Presents: The Characters,2016,18+,5.4,54,1,,,,1
891,Jamtara - Sabka Number Ayega,2020,,7.3,54,1,,,,1
892,Vampires,2020,18+,5.6,54,1,,,,1
893,Zindagi inShort,2021,,7.2,54,1,,,,1
894,#blackAF,2020,18+,6.8,54,1,,,,1
895,Ever After High,2013,all,8,54,1,,,,1
896,Sirius the Jaeger,2018,16+,6.8,54,1,,,,1
897,Eternal Love,2017,7+,8.3,54,1,,,,1
898,Murder Mountain,2018,16+,6.9,54,1,,,,1
899,EastSiders,2012,,6.9,54,1,,,,1
900,Dope,2017,16+,7.3,54,1,,,,1
901,Troy: Fall of a City,2018,18+,3.8,54,1,,,,1
902,Surviving Escobar - Alias JJ,2017,18+,7.9,54,1,,,,1
903,Transfers,2017,,7.3,54,1,,,,1
904,Unnatural Selection,2019,,8,54,1,,,,1
905,Skylines,2019,16+,7.6,54,1,,,,1
906,The Last Czars,2019,,7.3,54,1,,,,1
907,High Score Girl,2018,7+,8,54,1,,,,1
908,Human: The World Within,2021,,6.8,54,1,,,,1
909,Unit 42,2017,7+,7,54,1,,,,1
910,The Velvet Collection,2017,16+,7.2,54,1,,,,1
911,One on One,2001,16+,7.2,54,1,,1,,1
912,Monty Python: Almost the Truth (The Lawyer's Cut),2009,7+,8.1,54,1,,,,1
913,Nicky Jam: El Ganador,2018,,7.8,54,1,,,,1
914,Someone Has to Die,2020,,6.3,54,1,,,,1
915,Voice,2017,16+,7.7,54,1,,,,1
916,La Rֳ©volution,2020,16+,6.5,54,1,,,,1
917,Queer Eye: We're in Japan!,2019,16+,8.2,54,1,,,,1
918,Danger Mouse,1981,7+,7.4,54,1,,,,1
919,Paava Kadhaigal,2020,,8.1,54,1,,,,1
920,Man Like Mobeen,2017,18+,8,53,1,,,,1
921,Sisyphus,2021,,7.1,53,1,,,,1
922,MINE,2021,,7.8,53,1,,,,1
923,X-Men,2011,16+,6.9,53,1,,,1,1
924,The Minions of Midas,2020,,6.6,53,1,,,,1
925,7SEEDS,2019,18+,6.4,53,1,,,,1
926,Ultimate Beastmaster,2017,all,7.3,53,1,,,,1
927,Trigger Warning with Killer Mike,2019,16+,7,53,1,,,,1
928,The Queen of Flow,2018,18+,7.8,53,1,,,,1
929,The Upshaws,2021,16+,6.9,53,1,,,,1
930,Huge in France,2019,16+,6.8,53,1,,,,1
931,Good Morning Call,2016,all,7.5,53,1,,,,1
932,Reality Z,2020,18+,5.4,53,1,,,,1
933,Bella and the Bulldogs,2015,all,5.4,53,1,,,,1
934,Johnny Test,2005,all,5.1,53,1,,,,1
935,The Lost Pirate Kingdom,2021,18+,6.6,53,1,,,,1
936,The I-Land,2019,18+,4.6,53,1,,,,1
937,Find Yourself,2020,,7.8,53,1,,,,1
938,A Love So Beautiful,2017,,8.1,53,1,,,,1
939,Free Rein,2017,all,7.3,53,1,,,,1
940,Ashes of Love,2018,7+,8.4,53,1,,,,1
941,Masha and the Bear,2009,all,7.5,53,1,,,,1
942,Million Pound Menu,2018,,6.7,53,1,,,,1
943,All Hail King Julien,2014,7+,7.1,53,1,,,,1
944,The Day I Met El Chapo: The Kate del Castillo Story,2017,18+,6.9,53,1,,,,1
945,Argos Comunicaciֳ³n,2017,18+,7.2,53,1,,,,1
946,The Rational Life,2021,,8.2,53,1,,,,1
947,Busted!,2018,16+,7.7,53,1,,,,1
948,Street Food,2019,all,8.2,53,1,,,,1
949,A Little Thing Called First Love,2019,all,8,53,1,,1,,1
950,The Surgeon's Cut,2020,,8.5,53,1,,,,1
951,Song Exploder,2020,18+,7.4,53,1,,,,1
952,Unabomber: In His Own Words,2020,,7.2,53,1,,,,1
953,Spycraft,2021,18+,6.7,53,1,,,,1
954,Thieves of the Wood,2020,18+,6.8,53,1,,,,1
955,Headspace Guide to Meditation,2021,7+,8.5,53,1,,,,1
956,Record of Grancrest War,2018,18+,7.2,53,1,,,,1
957,Abyss,2019,16+,7.1,53,1,,,,1
958,Silver Spoon,2014,16+,7.7,53,1,,,,1
959,Omniscient,2020,18+,6.4,53,1,,,,1
960,Creeped Out,2017,7+,6.6,53,1,,,,1
961,The Worst Witch,2017,7+,7.3,53,1,,,,1
962,Diablero,2018,16+,6.7,53,1,,,,1
963,Samurai Gourmet,2017,,8.1,53,1,,,,1
964,The Daily Life of the Immortal King,2020,16+,7.4,53,1,,,,1
965,The Guest,2018,,8.2,53,1,,,,1
966,You Are My Spring,2021,,7.3,53,1,,,,1
967,My First First Love,2019,7+,7.5,53,1,,,,1
968,The Mr. Peabody & Sherman Show,2015,7+,5.8,53,1,,,,1
969,My Shy Boss,2017,,7.3,53,1,,,,1
970,Trial 4,2020,,7.4,53,1,,,,1
971,The Business of Drugs,2020,18+,7.2,53,1,,,,1
972,"Fresh, Fried & Crispy",2021,7+,6.2,53,1,,,,1
973,The Legend of Bruce Lee,2008,,7,53,1,,1,,1
974,Jiva!,2021,18+,5.7,53,1,,,,1
975,Killer Ratings,2019,18+,8,53,1,,,,1
976,Switched,2018,16+,7.1,53,1,,,,1
977,Go! Live Your Way,2019,,7.1,52,1,,,,1
978,Criminal: France,2019,7+,7.2,52,1,,,,1
979,Bloodride,2020,18+,6.4,52,1,,,,1
980,Glitch Techs,2020,all,7.9,52,1,,,,1
981,Country Comfort,2021,7+,6.9,52,1,,,,1
982,The Disappearance of Madeleine McCann,2019,16+,6.6,52,1,,,,1
983,Nobody's Looking,2019,18+,7.8,52,1,,,,1
984,Inside the World's Toughest Prisons,2016,18+,7.1,52,1,,,,1
985,Love & Anarchy,2020,,7.4,52,1,,,,1
986,Family Reunion,2019,7+,6.5,52,1,,,,1
987,Borderliner,2017,18+,6.8,52,1,,,,1
988,Sisters,2017,,7.5,52,1,,,,1
989,Kissing Game,2020,18+,6.4,52,1,,,,1
990,Who Killed Malcolm X?,2019,,7.6,52,1,,,,1
991,"Good Morning, Verֳ´nica",2020,,7.6,52,1,,,,1
992,Bad Boy Billionaires: India,2020,,8,52,1,,,,1
993,Neo Yokio,2017,18+,5.9,52,1,,,,1
994,Grand Hotel,2016,,8.2,52,1,,,,1
995,Crazy Delicious,2020,7+,6.7,52,1,,,,1
996,The Frozen Dead,2017,,6.3,52,1,,,,1
997,Zumbo's Just Desserts,2016,7+,6.9,52,1,,,,1
998,Another Miss Oh,2016,,7.9,52,1,,,,1
999,Soundtrack,2019,,6.8,52,1,,,,1
1000,Bad Guys,2014,18+,7.9,52,1,,,,1
1001,Fireman Sam,1989,all,6.2,52,1,,1,,1
1002,We Are the Wave,2019,18+,6.1,52,1,,,,1
1003,Morocco: Love in Times of War,2017,,7.6,52,1,,,,1
1004,Okupas,2000,18+,9.1,52,1,,,,1
1005,Sword Art Online Alternative: Gun Gale Online,2018,16+,6.9,52,1,1,,,1
1006,The Haunted Hathaways,2013,all,5.3,52,1,,,,1
1007,TIGER & BUNNY,2011,16+,7.4,52,1,1,,,1
1008,The Queen and the Conqueror,2020,16+,6.7,52,1,,,,1
1009,Mossad 101,2015,,6.9,52,1,,,,1
1010,Hoops,2020,18+,6,52,1,,,,1
1011,Crime Diaries: The Candidate,2019,18+,7.6,52,1,,,,1
1012,Zac & Mia,2017,16+,7.9,52,1,1,,,1
1013,Men on a Mission,2015,16+,8.3,52,1,,,,1
1014,Girls Hostel,2018,7+,8.1,52,1,,,,1
1015,Power Rangers Dino Fury,2021,7+,6.8,52,1,,,,1
1016,Broken,2019,16+,6.9,52,1,,,,1
1017,Barney & Friends,1992,all,3.9,52,1,,1,,1
1018,Yunus Emre: Aֵkִ±n Yolculuִu,2015,,8,52,1,,,,1
1019,We the People,2021,7+,4.5,52,1,,,,1
1020,SanPa: Sins of the Savior,2020,,7.8,52,1,,,,1
1021,The Big Show Show,2020,all,6.4,52,1,,,,1
1022,Ares,2020,18+,5.6,52,1,,,,1
1023,The Duchess,2020,18+,6.8,52,1,,1,,1
1024,Green Frontier,2019,18+,7.3,52,1,,,,1
1025,Love Alarm,2019,,6.8,52,1,,,,1
1026,Loaded,2017,,6.6,52,1,,,,1
1027,Nagi no Asukara,2013,7+,7.4,52,1,,,,1
1028,Luna Nera,2020,18+,5.6,52,1,,,,1
1029,Secrets of Great British Castles,2015,7+,7.8,52,1,,,,1
1030,Ridley Jones,2021,all,5.6,52,1,,,,1
1031,Next in Fashion,2020,16+,7.3,52,1,,,,1
1032,Children of the Whales,2017,16+,7.1,52,1,,,,1
